FILE	STATEMENTS	BRANCHES
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/__init__.py	100.000%	100.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/__main__.py	0.000%	100.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/aerospace/__init__.py	100.000%	100.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/aerospace/design.py	93.056%	58.333%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/aerospace/digital_thread.py	82.432%	33.333%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/aerospace/flight.py	83.582%	41.667%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/aerospace/structures.py	77.083%	43.750%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/aerospace/systems.py	87.037%	50.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/backends.py	100.000%	100.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/cad.py	53.731%	50.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/capabilities.py	86.364%	50.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/cfd.py	59.524%	21.429%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/cli.py	0.000%	0.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/contracts.py	87.302%	50.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/endurance.py	89.744%	50.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/evidence.py	71.028%	50.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/execution.py	46.377%	0.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/gpu.py	42.105%	28.571%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/hpc.py	55.714%	18.182%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/math_metrics.py	55.405%	23.077%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/orchestration.py	87.179%	71.429%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/performance.py	84.091%	50.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/petsc_mpi.py	34.409%	15.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/qualification.py	78.000%	57.143%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/reproduction.py	74.510%	0.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/requirements.py	0.000%	0.000%
/workspace/scratch/2530b218b415/work/sm34_tree/src/supermoon34/validation.py	96.721%	66.667%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/__init__.py	100.000%	100.000%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/__main__.py	0.000%	100.000%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/cli.py	100.000%	100.000%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/contracts.py	100.000%	100.000%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/coverage_gate.py	100.000%	100.000%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/coverage_runtime.py	66.972%	46.154%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/evidence.py	94.340%	83.333%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/framing.py	97.101%	86.364%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/physical.py	100.000%	100.000%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/qualification.py	100.000%	100.000%
/workspace/scratch/2530b218b415/work/sm35_tree/src/supermoon35/vnv.py	100.000%	97.059%
